"uid","pid","tstamp","crdate","cruser_id","deleted","hidden","starttime","endtime","sys_language_uid","l10n_parent","l10n_state","l10n_diffsource","t3ver_oid","t3ver_id","t3ver_label","t3ver_wsid","t3ver_state","t3ver_stage","t3ver_count","t3ver_tstamp","t3ver_move_id","gnd_id","name","date_of_birth","date_of_death","place_of_birth","place_of_death","place_of_activity","geographic_area_code","gender","unmodified_gnd_data","gnd_status","final"
"1","0","1602172879","1602172879","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","01234","Vincenzo Bellini","1801-11-03","1835-09-23","Catania","Puteaux",,"IT","m","0",,"0"
"2","0","1622464761","1602173987","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","78965","Johannes Brahms","1833-03-07","1897-04-03","Hamburg","Wien",,"DE","m","0",,"0"
"3","0","1635247391","1602690306","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116134380","Bergt, August","1772-06-17","1837-02-10","Oederan","Bautzen","Leipzig, Bautzen","XA-DE","m","1",,"2"
"4","0","1614100215","1602753821","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1021441473","Berger, Moritz",NULL,NULL,,,,"XA-DE","m","1",,"0"
"5","0","1614100215","1602754129","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","136212050","Kummer, Friedrich August","1770-09-07","1849-06-22","Dresden","Dresden","Meiningen, Dresden","XA-DE","m","1",,"0"
"6","0","1614100215","1602754753","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116481986","Breitung, Carl",NULL,NULL,,,,"XA-DE","m","1",,"0"
"7","0","1602837585","1602757306","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116397500",,NULL,NULL,,,,,,"0",,"0"
"8","0","1602837589","1602757648","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116397500",,NULL,NULL,,,,,,"0",,"0"
"9","0","1614100215","1602761889","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","139402179","Bliesener, Johann",NULL,NULL,"Preußen","Berlin",,"XA-DE",,"1",,"0"
"10","0","1602837598","1602762624","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217354611",,NULL,NULL,,,,,,"0",,"0"
"11","0","1602837600","1602762658","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217354611",,NULL,NULL,,,,,,"0",,"0"
"12","0","1602837602","1602777497","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217354611",,NULL,NULL,,,,,,"0",,"0"
"13","0","1614100215","1602837316","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116481986","Breitung, Carl",NULL,NULL,,,,"XA-DE","m","1",,"0"
"14","0","1614100215","1602837348","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1021441473","Berger, Moritz",NULL,NULL,,,,"XA-DE","m","1",,"0"
"15","0","1614100215","1602837399","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116131810","Berger, Ludwig","1777-04-18","1839-02-16","Berlin","Berlin",,"XA-DE","m","1",,"0"
"16","0","1635247431","1602837485","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","117026360","Lindner, Frederick","1798-07-05","1846-08-01","Dessau","Dessau","Berlin","XA-DE","m","1",,"2"
"17","0","1614100215","1602853824","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116953829","Methfessel, Albert","1785-10-06","1869-03-23","Stadtilm","Heckenbeck","Rudolstadt, Hamburg, Braunschweig","XA-DE","m","1",,"0"
"18","0","1614100215","1602853859","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217799567","Schneider, Friedrich",NULL,NULL,,,,"XA-DE",,"1",,"0"
"19","0","1614100215","1602853860","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217799567","Schneider, Friedrich",NULL,NULL,,,,"XA-DE",,"1",,"0"
"20","0","1614100215","1602854207","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1170273157","Reiner, Joseph Ewald",NULL,NULL,,,"Warta Bolesławiecka, Halle (Saale), Ostritz","XA-DE","m","1",,"0"
"21","0","1614100215","1602854516","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217800344","Schmidt, C.",NULL,NULL,,,,,,"1",,"0"
"22","0","1614100215","1602854952","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217800344","Schmidt, C.",NULL,NULL,,,,,,"1",,"0"
"23","0","1614100215","1602855166","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116131810","Berger, Ludwig","1777-04-18","1839-02-16","Berlin","Berlin",,"XA-DE","m","1",,"0"
"24","0","1614100215","1602855176","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","11683420X","Mašek, Vincenc",NULL,NULL,,,,"XA-CZ","m","1",,"0"
"25","0","1614100215","1602855181","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1170273157","Reiner, Joseph Ewald",NULL,NULL,,,"Warta Bolesławiecka, Halle (Saale), Ostritz","XA-DE","m","1",,"0"
"26","0","1614100215","1602855191","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","104125489","Quandt, Johann Gottlob von","1787-04-09","1859-06-19","Leipzig","Dresden",,"XA-DE","m","1",,"0"
"27","0","1614100215","1602855441","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","300017324","Beethoven, Ludwig van",NULL,NULL,,,,"XA-DE",,"1",,"0"
"28","0","1614100215","1602855779","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1170273157","Reiner, Joseph Ewald",NULL,NULL,,,"Warta Bolesławiecka, Halle (Saale), Ostritz","XA-DE","m","1",,"0"
"29","0","1614100215","1602855785","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217440879","Morgenroth, ...",NULL,NULL,,,,"ZZ",,"1",,"0"
"30","0","1635249059","1602855789","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","139402179","Bliesener, Johann",NULL,NULL,"Preußen","Berlin",,"XA-DE","m","1",,"2"
"31","0","1614100215","1602856384","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217442642","Richter, Friedrich",NULL,NULL,,,,"ZZ","m","1",,"0"
"32","0","1614100215","1602856400","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217445080","Schmidt, C.",NULL,NULL,,,,"XA",,"1",,"0"
"33","0","1614100215","1602856406","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116512466","Richter, Karl","1819-01-14","1885-05-28","Frankfurt am Main","Braunschweig",,"XA-DE","m","1",,"0"
"34","0","1614100215","1602856414","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1035755866","Zieger, J. G.",NULL,NULL,,,,"ZZ",,"1",,"0"
"35","0","1614100215","1602856423","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217447849","Cramer, Johann Baptist",NULL,NULL,,,,"XA-DE",,"1",,"0"
"36","0","1602856431","1602856431","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217447849",,NULL,NULL,,,,,,"0",,"0"
"37","0","1614100215","1602856917","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","119149419","Krommer, Franz Vinzenz","1759-11-27","1831-01-08","Horská Kamenice","Wien",,"XA-CZ","m","1",,"0"
"38","0","1635247469","1602856924","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116953829","Methfessel, Albert","1785-10-06","1869-03-23","Stadtilm","Heckenbeck","Rudolstadt, Hamburg, Braunschweig","XA-DE","m","1",,"2"
"39","0","1635247427","1602856930","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","136212050","Kummer, Friedrich August","1770-09-07","1849-06-22","Dresden","Dresden","Meiningen, Dresden","XA-DE","m","1",,"2"
"40","0","1614100215","1602857141","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116276185","Köhler, Gottlieb Heinrich","1765-07-06","1833-01-29","Dresden","Leipzig","Leipzig","XA-DE","m","1",,"0"
"41","0","1614100215","1602857264","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1055768637","Rumler, Johann",NULL,NULL,"Böhmen",,,"XA-AAAT","m","1",,"0"
"42","0","1635247442","1602857772","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1170273157","Reiner, Joseph Ewald",NULL,NULL,,,"Warta Bolesławiecka, Halle (Saale), Ostritz","XA-PL","m","1",,"2"
"43","0","1635247444","1602858392","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","104125489","Quandt, Johann Gottlob von","1787-04-09","1859-06-19","Leipzig","Dresden",,"XA-DE","m","1",,"2"
"44","0","1614100215","1602858395","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","104125489",,NULL,NULL,,,,,,"0",,"0"
"45","0","1614100215","1602858412","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116953829",,NULL,NULL,,,,,,"0",,"0"
"46","0","1614100215","1602859109","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","141439092","Voigt, Johann Georg Hermann","1769-05-14","1811-02-24","Osterwieck","Leipzig","Zeitz, Leipzig","XA-DE","m","1",,"0"
"47","0","1602860387","1602860387","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","968728154",,NULL,NULL,,,,,,"0",,"0"
"48","0","1614100215","1602861017","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217816410","Stab, Christian Gottlieb",NULL,NULL,,,"Dresden","XA-DE","m","1",,"0"
"49","0","1614100215","1602861148","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217607587","Reiner, Joseph Ewald",NULL,NULL,,,,"XA-DE",,"1",,"0"
"50","0","1614100215","1602861645","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","118680552","Dotzauer, Justus Johann Friedrich","1783-06-20","1860-03-06","Häselrieth","Dresden","Dresden, Leipzig, Hildburghausen, Meiningen, Berlin","XA-DE","m","1",,"0"
"51","0","1614100215","1602861653","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217447849",,NULL,NULL,,,,,,"0",,"0"
"52","0","1614100215","1602861676","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1162234628","Paër, Ferdinando",NULL,NULL,,,,"XA-IT",,"1",,"0"
"53","0","1614100215","1602861881","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","118680552","Dotzauer, Justus Johann Friedrich",NULL,NULL,"Häselrieth","Dresden",,,"männlich","0",,"0"
"54","0","1614100215","1602861924","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116953829",,NULL,NULL,,,,,,"0",,"0"
"55","0","1614100215","1602861958","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217447849",,NULL,NULL,,,,,,"0",,"0"
"56","0","1614100215","1602861978","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217447849",,NULL,NULL,,,,,,"0",,"0"
"57","0","1614100215","1602861989","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1072404761","Günther, Carl Friedrich",NULL,NULL,,,,"XA-DE","m","1",,"0"
"58","0","1602862132","1602862132","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217607587",,NULL,NULL,,,,,,"0",,"0"
"59","0","1614100215","1602862171","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116953829",,NULL,NULL,,,,,,"0",,"0"
"60","0","1614100215","1602862182","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116953829",,NULL,NULL,,,,,,"0",,"0"
"61","0","1614100215","1602862190","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116543205","Riem, Wilhelm Friedrich","1779-12-17","1857-04-20","Kölleda","Bremen","Leipzig","XA-DE","m","1",,"0"
"62","0","1635247451","1602862230","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217442642","Richter, Friedrich",NULL,NULL,,,,"XA","m","1",,"2"
"63","0","1614100215","1602862292","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","118680552","Dotzauer, Justus Johann Friedrich","1783-06-20","1860-03-06","Häselrieth","Dresden","Dresden, Leipzig, Hildburghausen, Meiningen, Berlin","XA-DE","m","1",,"0"
"64","0","1614100215","1602862721","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","123931002","Harder, August","1775-07-17","1813-10-29",,,,"XA-DE","m","1",,"0"
"65","0","1614100215","1602862827","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","103958274","Vitásek, Jan August","1771-02-20","1839-12-07",,,,"XA-CZ","m","1",,"0"
"66","0","1614100215","1602863066","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","115098225X","Weigl, Joseph",NULL,NULL,,,,"XA-AT",,"1",,"0"
"67","0","1614100215","1602864175","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1033061700","Saalbach, J. G. F.",NULL,NULL,,,,"ZZ",,"1",,"0"
"68","0","1614100215","1602864184","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1170273157",,NULL,NULL,,,,,,"0",,"0"
"69","0","1614100215","1602864195","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","111537902X","Mozart, Wolfgang Amadeus",NULL,NULL,,,,"XA-AT",,"1",,"0"
"70","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217607587",,NULL,NULL,,,,,,"0",,"0"
"71","0","1614100215","1603113771","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","137252552","Bachmann, Gottlob",NULL,NULL,"Bornitz","Zeitz",,"XA-DE","m","1",,"0"
"72","0","1636473278","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","117043451","Miller, Julius","1782-01-01","1851-04-17","Dresden","Charlottenburg","Dresden","XA-DE","m","1",,"2"
"73","0","1635247534","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217666079","Schiroll, M.",NULL,NULL,,,,"ZZ",,"1",,"2"
"74","0","1635247536","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1179848268","Jürgens, Wilhelm",NULL,"1814-02-01","Riga","Leipzig","Leipzig","XA-DE","m","1",,"2"
"75","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116953829",,NULL,NULL,,,,,,"0",,"0"
"76","0","1614100215","1603113771","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","11940818X","Schneider, Friedrich","1786-01-03","1853-11-23","Waltersdorf","Dessau","Leipzig, Dessau, Zerbst/Anhalt","XA-DE","m","1",,"0"
"77","0","1635247542","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","121766839X","Biel, Charles",NULL,NULL,,,,"ZZ","m","1",,"2"
"78","0","1614100215","1603113771","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116329475","Ebers, Carl Friedrich",NULL,NULL,"Kassel","Berlin",,"XA-DE","m","1",,"0"
"79","0","1635247548","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","117021938","Zulehner, Carl",NULL,NULL,"Mainz","Mainz","Mainz","XA-DE","m","1",,"2"
"80","0","1614100215","1603113771","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","121767540X","Voigt, Johann Georg Hermann",NULL,NULL,,,,"XA-DE",,"1",,"0"
"81","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1170273157",,NULL,NULL,,,,,,"0",,"0"
"82","0","1614100215","1603113771","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","118687301","Fink, Gottfried Wilhelm","1783-03-07","1846-08-27","Sulza","Leipzig",,"XA-DE","m","1",,"0"
"83","0","1635247486","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","119060922","Hoffmeister, Franz Anton","1754-05-12","1812-02-09","Rottenburg am Neckar","Wien","Leipzig, Wien, Linz","XA-AT","m","1",,"2"
"84","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116953829",,NULL,NULL,,,,,,"0",,"0"
"85","0","1603113771","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","121767540X",,NULL,NULL,,,,,,"0",,"0"
"86","0","1635247454","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217445080","Schmidt, C.",NULL,NULL,,,,"XA",,"1",,"2"
"87","0","1614100215","1603113771","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","123730872","Eberl, Anton","1765-06-13","1807-03-11","Wien","Wien",,"XA-AT","m","1",,"0"
"88","0","1635247539","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","11940818X","Schneider, Friedrich","1786-01-03","1853-11-23","Waltersdorf","Dessau","Leipzig, Dessau, Zerbst/Anhalt","XA-DE","m","1",,"2"
"89","0","1635247526","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","137252552","Bachmann, Gottlob",NULL,NULL,"Bornitz","Zeitz",,"XA-DE","m","1",,"2"
"90","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","121767540X",,NULL,NULL,,,,,,"0",,"0"
"91","0","1635247568","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","123730872","Eberl, Anton","1765-06-13","1807-03-11","Wien","Wien",,"XA-AT","m","1",,"2"
"92","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","123730872",,NULL,NULL,,,,,,"0",,"0"
"93","0","1635247588","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","137499272","Mendel, Siegmund Heinrich",NULL,NULL,,,,"ZZ","m","1",,"2"
"94","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","123730872",,NULL,NULL,,,,,,"0",,"0"
"95","0","1635247553","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","118687301","Fink, Gottfried Wilhelm","1783-03-07","1846-08-27","Sulza","Leipzig",,"XA-DE","m","1",,"2"
"96","0","1635247514","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116543205","Riem, Wilhelm Friedrich","1779-12-17","1857-04-20","Kölleda","Bremen","Leipzig","XA-DE","m","1",,"2"
"97","0","1635247599","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217740627","Münzel, ...",NULL,NULL,,,,"ZZ",,"1",,"2"
"98","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1170273157",,NULL,NULL,,,,,,"0",,"0"
"99","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","123730872",,NULL,NULL,,,,,,"0",,"0"
"100","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217447849",,NULL,NULL,,,,,,"0",,"0"
"101","0","1635247606","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116431415","Call, Leonhard von","1767-03-19","1815-02-19","Eppan an der Weinstraße","Wien",,"XA-AT","m","1",,"2"
"102","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217447849",,NULL,NULL,,,,,,"0",,"0"
"103","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","11940818X",,NULL,NULL,,,,,,"0",,"0"
"104","0","1614100215","1603113771","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116435992","Remdé, Johann Christian",NULL,NULL,"Bad Berka",,"Weimar","XA-DE","m","1",,"0"
"105","0","1604956088","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1152041444","Himmel, Friedrich Heinrich",NULL,NULL,,,,"XA-DE",,"1",,"0"
"106","0","1603113771","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217799567",,NULL,NULL,,,,,,"0",,"0"
"107","0","1603113771","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217800344",,NULL,NULL,,,,,,"0",,"0"
"108","0","1603113771","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","300017324",,NULL,NULL,,,,,,"0",,"0"
"109","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","300017324",,NULL,NULL,,,,,,"0",,"0"
"110","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217447849",,NULL,NULL,,,,,,"0",,"0"
"111","0","1614100215","1603113771","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217817468","Vogel, Johann Christoph",NULL,NULL,,,,"XA-DE",,"1",,"0"
"112","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1170273157",,NULL,NULL,,,,,,"0",,"0"
"113","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","118687301",,NULL,NULL,,,,,,"0",,"0"
"114","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","118687301",,NULL,NULL,,,,,,"0",,"0"
"115","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217607587",,NULL,NULL,,,,,,"0",,"0"
"116","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217607587",,NULL,NULL,,,,,,"0",,"0"
"117","0","1614100215","1603113771","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","118567837","Kuhlau, Friedrich","1786-09-11","1832-03-12","Uelzen","Kopenhagen",,"XA-DE","m","1",,"0"
"118","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1170273157",,NULL,NULL,,,,,,"0",,"0"
"119","0","1614685986","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116435992","Remdé, Johann Christian",NULL,NULL,"Bad Berka",,"Weimar","XA-DE","m","1",,"0"
"120","0","1614100215","1603113771","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116898666","Naue, Johann Friedrich","1787-11-17","1858-05-19","Halle (Saale)","Halle (Saale)",,"XA-DE","m","1",,"0"
"121","0","1604956237","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","123817137","Gärtner, Johann August",NULL,NULL,"Wiesa","Weißenfels","Bitterfeld, Zöblitz","XA-DE","m","1",,"0"
"122","0","1604956243","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","117303194","Theuß, Theodor",NULL,NULL,,,"Weimar","XA-DE","m","1",,"0"
"123","0","1614685993","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116898666","Naue, Johann Friedrich","1787-11-17","1858-05-19","Halle (Saale)","Halle (Saale)",,"XA-DE","m","1",,"0"
"124","0","1635247518","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1033061700","Saalbach, J. G. F.",NULL,NULL,,,,"XA",,"1",,"2"
"125","0","1604956254","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","118660764","Böhner, Johann Ludwig","1787-01-08","1860-03-28","Töttelstädt","Gotha","Gotha","XA-DE","m","1",,"0"
"126","0","1635247471","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116276185","Köhler, Gottlieb Heinrich","1765-07-06","1833-01-29","Dresden","Leipzig","Leipzig","XA-DE","m","1",,"2"
"127","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116276185",,NULL,NULL,,,,,,"0",,"0"
"128","0","1635247582","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","123931002","Harder, August","1775-07-17","1813-10-29",,,,"XA-DE","m","1",,"2"
"129","0","1604956265","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1031723277","Paër, Ferdinando",NULL,NULL,,,,"XA-DE,XA-IT,XA-FR",,"1",,"0"
"130","0","1635248219","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","118520377","Cherubini, Luigi","1760-09-14","1842-03-15","Florenz","Paris",,"XA-IT","m","1",,"2"
"131","0","1614100215","1603113771","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1218047550","Kyaw, H. A. F.",NULL,NULL,,,,"XA",,"1",,"0"
"132","0","1638266351","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","118680552","Dotzauer, Justus Johann Friedrich","1783-06-20","1860-03-06","Häselrieth","Dresden","Dresden, Leipzig, Hildburghausen, Meiningen, Berlin","XA-DE","m","1",,"2"
"133","0","1614100215","1603113771","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","136154530","Gumlich, Friedrich",NULL,NULL,,,"Coburg","XA-DE","m","1",,"0"
"134","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217607587",,NULL,NULL,,,,,,"0",,"0"
"135","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217442642",,NULL,NULL,,,,,,"0",,"0"
"136","0","1604956299","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1206957980","Atze, Friedrich",NULL,NULL,,,"Breslau","XA-PL","m","1",,"0"
"137","0","1635247546","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116329475","Ebers, Carl Friedrich",NULL,NULL,"Kassel","Berlin",,"XA-DE","m","1",,"2"
"138","0","1614100215","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116953829",,NULL,NULL,,,,,,"0",,"0"
"139","0","1604956311","1603113771","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1218096276","Moldau, ...",NULL,NULL,,,,"XA",,"1",,"0"
